"find_number","material","start_date","end_date","l2_class","object_diameter","object_height","ceramics_image_type","ceramics_mark","on_website","material_simplified","url"
"NZR2.00257CER066","industrial ware: white",1775,1850,"Consumption: drinking",95.0,55.0,NULL,NULL,0,"industrial ware",NULL
"NZR2.00514CER247","faience: Holland",1750,1825,"Consumption: drinking",95.0,60.0,NULL,NULL,0,"faience",NULL
"NZR2.00520CER080","porcelain: Europe",1850,1900,"Consumption: drinking",90.0,55.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00523CER081","porcelain: Europe",1825,1875,"Consumption: drinking",115.0,25.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00575CER040","porcelain: Europe",1775,1825,"Consumption: drinking",130.0,30.0,NULL,NULL,0,"porcelain",NULL
"NZR2.00657CER148","faience: French",1600,1675,"Food consumption: plate, dish, bowl",400.0,50.0,NULL,NULL,0,"faience",NULL
"NZV1.00001CER003","faience",1625,1675,"Food consumption: plate, dish, bowl",280.0,70.0,NULL,NULL,0,"faience",NULL
"NZR2.00382CER032","faience: French",1600,1650,"Food consumption: plate, dish, bowl",340.0,55.0,NULL,NULL,0,"faience",NULL
"NZR2.00512CER298","faience: French",1600,1650,"Food consumption: plate, dish, bowl",150.0,50.0,NULL,NULL,0,"faience",NULL
"NZD1.00029CER050","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",220.0,35.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00052CER039","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,30.0,NULL,NULL,0,"faience",NULL
"NZD1.00053CER051","faience: Holland",1675,1750,"Food consumption: plate, dish, bowl",100.0,18.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00068CER093","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",320.0,50.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00072CER073","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",240.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00081CER058","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",280.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00087CER126","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",210.0,15.0,NULL,NULL,0,"faience",NULL
"NZD1.00088CER085","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",240.0,30.0,"chinese decor",NULL,0,"faience",NULL
"NZD1.00088CER101","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00095CER088","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,40.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00099CER067","faience: Holland",1725,1775,"Food consumption: plate, dish, bowl",110.0,25.0,"floral motif",NULL,0,"faience",NULL
"NZD1.00106CER007","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",220.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00168CER007","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",280.0,27.0,NULL,NULL,0,"faience",NULL
"NZD1.00283CER002","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,28.0,NULL,NULL,0,"faience",NULL
"NZD1.00354CER014","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",280.0,32.0,NULL,NULL,0,"faience",NULL
"NZD1.00360CER004","faience: Holland",1625,1675,"Food consumption: plate, dish, bowl",220.0,25.0,NULL,NULL,0,"faience",NULL
"NZD1.00364CER007","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,23.0,NULL,NULL,0,"faience",NULL
"NZD1.00374CER002","faience: Holland",1675,1725,"Food consumption: plate, dish, bowl",240.0,30.0,NULL,NULL,0,"faience",NULL
"NZD1.00386CER065","faience: Holland",1650,1725,"Food consumption: plate, dish, bowl",260.0,35.0,NULL,NULL,0,"faience",NULL
"NZD1.00425CER008","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",210.0,20.0,NULL,NULL,0,"faience",NULL
"NZD1.00444CER058","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",220.0,40.0,"floral motif",NULL,0,"faience",NULL
"NZDAM1.00011CER003","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",340.0,48.0,"chinese decor",NULL,0,"faience",NULL
"NZDAM1.00011CER018","faience: Holland",1700,1800,"Food consumption: plate, dish, bowl",230.0,35.0,"floral motif",NULL,0,"faience",NULL
"NZR2.00022CER061","faience: Holland",1675,1750,"Food consumption: plate, dish, bowl",230.0,30.0,"text/inscriptions",NULL,0,"faience",NULL
"NZR2.00026CER016","faience: Holland",1650,1750,"Food consumption: plate, dish, bowl",240.0,28.0,"still lifes/objects",NULL,0,"faience",NULL
"NZR2.00027CER015","faience: Holland",1725,1800,"Food consumption: plate, dish, bowl",230.0,30.0,NULL,NULL,0,"faience",NULL
"NZR2.00047CER002","faience: Holland",1650,1700,"Food consumption: plate, dish, bowl",220.0,26.0,NULL,NULL,0,"faience",NULL
"NZR2.00196CER046","faience: Holland",1650,1675,"Food consumption: plate, dish, bowl",210.0,28.0,NULL,NULL,0,"faience",NULL
"NZR2.00253CER117","faience: Holland",1750,1825,"Consumption: drinking",90.0,55.0,NULL,NULL,0,"faience",NULL
